subject,Cluster,phase,muscle,n_points,mean_IMF,SD_IMF,CV_IMF
582,0,CoolDown,SCML,16,56.89989160028078,15.065917903307268,26.477937794934082
582,0,CoolDown,SCMR,16,108.79759492800942,62.59734486942345,57.535596178246095
582,0,CoolDown,STL,16,85.09972798679357,28.274165849786538,33.224742920652275
582,0,CoolDown,STR,16,94.29124893760816,18.821349637199116,19.960865774143123
582,0,CoolDown,UTL,16,83.59907150502794,27.671868615056887,33.100688939341396
582,0,CoolDown,UTR,16,83.2864347379934,16.94455129517001,20.34491132736684
582,0,Warmup,MTL,9,44.019256795204754,16.867094029286097,38.317534772925825
582,0,Warmup,MTR,9,43.241138619531945,16.091020214322814,37.21229534657658
582,0,Warmup,SCML,9,74.58818512520807,32.30232981193761,43.307569097857844
582,0,Warmup,SCMR,9,44.79737497087757,18.04797415751705,40.288017253800916
582,0,Warmup,STL,9,71.03107346498949,29.017003889505396,40.85114087964275
582,0,Warmup,STR,9,89.92822915990062,19.057250488048904,21.191622103625956
582,0,Warmup,UTL,9,45.464333407168546,17.008257456805524,37.41011070036664
583,0,CoolDown,MTL,40,98.2429785062184,26.172881671397853,26.640969226865625
583,0,CoolDown,MTR,40,71.23116160532332,11.878890936801026,16.676536882297988
583,0,CoolDown,SCML,40,88.5387331751561,30.94024785479059,34.94543771434083
583,0,CoolDown,SCMR,40,161.4706388075728,11.354427860936914,7.031883904582907
583,0,CoolDown,STL,40,77.73400641479806,9.377277327918277,12.063288334683268
583,0,CoolDown,STR,40,64.45319643852464,8.199544482291973,12.72170339932277
583,0,CoolDown,UTL,40,113.07446686013579,14.491500018048685,12.815890643087027
583,0,CoolDown,UTR,40,56.59976078400515,13.821473589834023,24.4196678543912
584,0,CoolDown,MTL,11,96.31486145892941,41.846743878840996,43.44785762546654
584,0,CoolDown,MTR,11,65.93793631513108,30.30997398484772,45.967428886445674
584,0,CoolDown,SCML,11,83.85486521731154,39.11396035254716,46.644831222592224
584,0,CoolDown,SCMR,11,73.75953979527078,47.64245646034671,64.591585837689
584,0,CoolDown,STL,11,61.02669692062477,27.724941556624067,45.43084085426564
584,0,CoolDown,STR,11,82.85442756287506,15.315639778487249,18.484998604166076
584,0,CoolDown,UTL,11,81.30829664238233,5.4077502113605584,6.650920551374266
584,0,CoolDown,UTR,11,89.31179787787411,6.053944255734128,6.77843733927779
585,1,Warmup,MTL,5,38.216718270795155,20.882563362621585,54.64248189667252
585,1,Warmup,MTR,5,38.816980861435916,23.295379212844367,60.01337223005918
