subject,phase,angle,muscle,r,p,n
subject_560,WanT,Horizontal,MTR,0.6923494970655762,1.5939607836133478e-05,31
subject_560,WanT,Horizontal,SCML,0.7170762648179184,5.658251639368951e-06,31
subject_560,WanT,Horizontal,SCMR,0.6676227293132343,4.078582825310644e-05,31
subject_560,WanT,Horizontal,STL,0.6758649852306817,3.011277040083536e-05,31
subject_560,WanT,Horizontal,STR,0.684107241148129,2.2019716822920263e-05,31
subject_560,WanT,Horizontal,UTL,0.708834008900471,8.08491665737832e-06,31
subject_560,WanT,Horizontal,UTR,0.535746634634077,0.0018955540028710593,31
subject_560,Warmup,Sagittal,MTL,-0.36522852333566447,0.003801015070463305,61
subject_560,Warmup,Sagittal,MTR,-0.3768502353526449,0.0027569128440955272,61
subject_560,Warmup,Sagittal,SCML,-0.17456165410276708,0.1784568070564103,61
subject_560,Warmup,Sagittal,SCMR,0.26405473597971796,0.039751594994763856,61
subject_560,Warmup,Sagittal,STL,-0.3095681919243901,0.015192867353410413,61
subject_560,Warmup,Sagittal,STR,0.17456165410276708,0.1784568070564103,61
subject_560,Warmup,Sagittal,UTL,-0.6324984029952069,4.5478986280483124e-08,61
subject_560,Warmup,Sagittal,UTR,-0.727271399722512,3.184474421434885e-11,61
subject_560,Warmup,Frontal,MTL,0.30058267317483345,0.018583914224265075,61
subject_560,Warmup,Frontal,MTR,0.34323334554393803,0.006767314092566471,61
subject_560,Warmup,Frontal,SCML,0.4605385380479685,0.0001879346019308721,61
subject_560,Warmup,Frontal,SCMR,-0.43756547900814624,0.0004212920702859914,61
subject_560,Warmup,Frontal,STL,0.5112693898034933,2.5463203687901676e-05,61
subject_560,Warmup,Frontal,STR,0.11023899641316104,0.39768441722613435,61
subject_560,Warmup,Frontal,UTL,0.4599681724442213,0.00019187284752563596,61
subject_560,Warmup,Frontal,UTR,0.502397035967424,3.696357150829352e-05,61
subject_560,Warmup,Horizontal,MTL,,,61
subject_560,Warmup,Horizontal,MTR,,,61
subject_560,Warmup,Horizontal,SCML,,,61
subject_560,Warmup,Horizontal,SCMR,,,61
subject_560,Warmup,Horizontal,STL,,,61
subject_560,Warmup,Horizontal,STR,,,61
subject_560,Warmup,Horizontal,UTL,,,61
subject_560,Warmup,Horizontal,UTR,,,61
subject_570,Cooldown,Sagittal,MTL,-0.229646028184913,0.07501627009780594,61
subject_570,Cooldown,Sagittal,MTR,-0.22758136118492878,0.07774507663410053,61
subject_570,Cooldown,Sagittal,SCML,0.5334273661159266,9.58045817522909e-06,61
subject_570,Cooldown,Sagittal,SCMR,0.6903420581147284,7.488237634798054e-10,61
subject_570,Cooldown,Sagittal,STL,-0.3691349307038478,0.0034164755529525635,61
subject_570,Cooldown,Sagittal,STR,0.18144293595861444,0.16167986781701563,61
subject_570,Cooldown,Sagittal,UTL,-0.18978419063855073,0.1429351454190406,61
subject_570,Cooldown,Sagittal,UTR,-0.16206259505209578,0.21209262445344765,61
subject_570,Cooldown,Frontal,MTL,-0.27906374474471846,0.02941081395034173,61
subject_570,Cooldown,Frontal,MTR,-0.10210713479140643,0.43360727766211526,61
subject_570,Cooldown,Frontal,SCML,-0.14056457986099027,0.27991605331920316,61
subject_570,Cooldown,Frontal,SCMR,0.00258904130952569,0.9842007216945651,61
subject_570,Cooldown,Frontal,STL,-0.15478976188748536,0.23360207796374202,61
subject_570,Cooldown,Frontal,STR,0.10027444262848374,0.4419483396100923,61
subject_570,Cooldown,Frontal,UTL,-0.39769419935422146,0.0015043175457049077,61
subject_570,Cooldown,Frontal,UTR,-0.2332173503198591,0.07047654984707445,61
subject_570,Cooldown,Horizontal,MTL,0.050342601162418156,0.7000162423888652,61
