angle,muscle,phase,mean_r,median_r,sd_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Horizontal,MTL,Warmup,-0.03786599016780915,-0.022155636099045927,0.23231573521724855,-0.4838092882803131,0.3924916089413454,0.34858025507982393,51,1.0,False
Horizontal,MTR,Warmup,-0.024748518860354816,0.007060399042044484,0.20259218327393544,-0.4740733165763847,0.4096745209438111,0.38695257485010826,52,1.0,False
Horizontal,SCML,Warmup,0.010578612636871857,0.010027809934832136,0.2287430379102125,-0.42136448361411133,0.5359213186580797,0.912978029438639,52,1.0,False
Horizontal,SCMR,Warmup,0.022544753254250274,0.011793227653853627,0.2343235487774876,-0.4869545473535766,0.5506864338091563,0.362457853756321,52,1.0,False
Horizontal,STL,Warmup,-5.63229196523753e-05,-0.02329006806746497,0.21942217298701036,-0.346753474795158,0.4825311343578404,0.5423419454494496,52,1.0,False
Horizontal,STR,Warmup,0.014573596800471227,0.029004387263907448,0.22595124453474746,-0.3853395309333245,0.3833662959637735,0.8366219784981852,51,1.0,False
Horizontal,UTL,Warmup,0.028112099196984618,0.031108819633375244,0.20338508769975006,-0.35380610950215535,0.43125203153938124,0.32087863750496504,52,1.0,False
Horizontal,UTR,Warmup,0.038386707625126276,0.034796644189064266,0.23755372793984703,-0.4459797611383953,0.4505901440296622,0.1288795860955676,52,1.0,False
Sagittal,MTL,Second_threshold,-0.01209847507453421,-0.03043815179381808,0.21076469152430982,-0.34567164453936416,0.3836415327514129,0.5495662943251305,54,1.0,False
Sagittal,MTR,Second_threshold,-0.05178890060943029,-0.05098324149316885,0.22584914715707252,-0.460239042712288,0.3857312277546437,0.05115057300126104,55,1.0,False
Sagittal,SCML,Second_threshold,0.19235472137699228,0.21486810448267002,0.2770863199208913,-0.36223613583113623,0.6565581025343975,1.8568934638181935e-05,55,0.002228272156581832,True
Sagittal,SCMR,Second_threshold,0.1599989444202741,0.16119850244563994,0.30961017950271835,-0.41873807407711183,0.6827153449615871,0.0006608142929956267,54,0.0792977151594752,False
Sagittal,STL,Second_threshold,-0.05996133077132339,-0.02345177526993008,0.29741973677826666,-0.6531282433588492,0.49461968974675663,0.1969477576172144,55,1.0,False
Sagittal,STR,Second_threshold,0.03419344813460747,0.10181597571082787,0.2631649401131544,-0.570031257733011,0.38085246665128764,0.12643467141619738,54,1.0,False
Sagittal,UTL,Second_threshold,0.053333883284714174,0.017878213039924082,0.23188984727032314,-0.5115155473875354,0.3861861548494904,0.07992583133735565,55,1.0,False
