angle,muscle,third,mean_r,median_r,sd_r,se_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Horizontal,SCML,Early (1-10s),0.14318498122803838,0.2775412228672621,0.514197899456222,0.07934245842956597,-0.779600326566877,0.7977240352174656,0.10266284487596068,42,1.0,False
Horizontal,SCMR,Early (1-10s),0.05310932688492363,0.07106690545187014,0.48937559596799707,0.07642762779880066,-0.7416198487095663,0.7977240352174656,0.4962605597799147,41,1.0,False
Horizontal,STL,Early (1-10s),0.0971814949320284,0.14141955252001498,0.38810849684363374,0.05988644121172466,-0.6931479302846763,0.7456149792313027,0.09628570729401939,42,1.0,False
Horizontal,STR,Early (1-10s),0.03950900357709527,0.11396057645963792,0.4406283485231599,0.0688145867836257,-0.6963106238227913,0.7977240352174656,0.5541470257112864,41,1.0,False
Horizontal,UTL,Early (1-10s),0.03302211722528333,0.061494634129697266,0.46350442004587983,0.07152028473531584,-0.6963106238227913,0.6613254149723108,0.6408114356432121,42,1.0,False
Horizontal,UTR,Early (1-10s),-0.004096200908599109,0.01315903389919538,0.4395006696811301,0.06863847293666372,-0.7106690545187014,0.7395739969534467,0.9483273181299633,41,1.0,False
Sagittal,MTL,Mid (11-20s),0.11632417213009968,0.10037317226797879,0.43697096535898194,0.05892115294909115,-0.6814206666783037,0.826178825024635,0.06301442828513545,55,1.0,False
Sagittal,MTR,Mid (11-20s),0.07018335811195661,0.0991836136574655,0.45078702036447205,0.06023894945030507,-0.7688707400993753,0.8797220868417913,0.23137444159693898,56,1.0,False
Sagittal,SCML,Mid (11-20s),0.2024012213223794,0.3067963940401431,0.43593562737033215,0.05825434858243342,-0.7071315040260858,0.795321483785639,0.001466277842051631,56,0.10557200462771744,False
Sagittal,SCMR,Mid (11-20s),0.1421968446055932,0.190805991538333,0.4718361495933151,0.06362237343219976,-0.7489077268082742,0.8955108616988268,0.026113860715868045,55,1.0,False
Sagittal,STL,Mid (11-20s),0.09757166875702042,0.06215860670767415,0.475541565788693,0.06354691472683248,-0.7396722861587919,0.9023784460812327,0.16428951678148684,56,1.0,False
Sagittal,STR,Mid (11-20s),0.0990811911255082,0.1447571914761275,0.5157894799150382,0.06954903928374119,-0.7692230520382021,0.8573640871833771,0.1630054667463029,55,1.0,False
Sagittal,UTL,Mid (11-20s),0.19082071719932706,0.33660514597033236,0.5089146955809539,0.06800658678422457,-0.7512483745686566,0.8656414574546555,0.0071553620535935725,56,0.5151860678587372,False
