.y.,group1,group2,n1,n2,statistic,df,p,p.adj,p.adj.signif,Muscle_Pair
CCI,Warmup,SecondThreshold,57,57,3.5266961167651054,56,8.48e-4,0.008,**,UTL_MTL
CCI,Warmup,VO2max,57,57,6.0072659462253695,56,1.48e-7,1.48e-6,****,UTL_MTL
CCI,Warmup,WanT,57,57,4.835678127358795,56,1.08e-5,1.08e-4,***,UTL_MTL
CCI,Warmup,Cooldown,57,57,3.9391749067900492,56,2.29e-4,0.002,**,UTL_MTL
CCI,SecondThreshold,VO2max,57,57,3.091370948215635,56,0.003,0.031,*,UTL_MTL
CCI,SecondThreshold,WanT,57,57,1.752663004042515,56,0.085,0.851,ns,UTL_MTL
CCI,SecondThreshold,Cooldown,57,57,0.6718865725444887,56,0.504,1,ns,UTL_MTL
CCI,VO2max,WanT,57,57,-0.5921129405959196,56,0.556,1,ns,UTL_MTL
CCI,VO2max,Cooldown,57,57,-1.897875026060367,56,0.063,0.629,ns,UTL_MTL
CCI,WanT,Cooldown,57,57,-1.2559436270528248,56,0.214,1,ns,UTL_MTL
CCI,Warmup,SecondThreshold,57,57,0.7858616349094358,56,0.435,1,ns,UTL_UTR
CCI,Warmup,VO2max,57,57,3.585519836479088,56,7.06e-4,0.007,**,UTL_UTR
CCI,Warmup,WanT,57,57,3.6997254705357983,56,4.94e-4,0.005,**,UTL_UTR
CCI,Warmup,Cooldown,57,57,4.490277664258828,56,3.6e-5,3.6e-4,***,UTL_UTR
CCI,SecondThreshold,VO2max,57,57,3.187563012696184,56,0.002,0.024,*,UTL_UTR
CCI,SecondThreshold,WanT,57,57,3.203922435306968,56,0.002,0.022,*,UTL_UTR
CCI,SecondThreshold,Cooldown,57,57,3.284686717765408,56,0.002,0.018,*,UTL_UTR
CCI,VO2max,WanT,57,57,0.9702767970490747,56,0.336,1,ns,UTL_UTR
CCI,VO2max,Cooldown,57,57,1.032199757323587,56,0.306,1,ns,UTL_UTR
CCI,WanT,Cooldown,57,57,0.21191688085782237,56,0.833,1,ns,UTL_UTR
CCI,Warmup,SecondThreshold,56,56,3.596301642514698,55,6.91e-4,0.007,**,UTR_MTR
CCI,Warmup,VO2max,56,56,5.84967023442519,55,2.81e-7,2.81e-6,****,UTR_MTR
CCI,Warmup,WanT,56,56,5.834329234663989,55,2.97e-7,2.97e-6,****,UTR_MTR
CCI,Warmup,Cooldown,56,56,5.252125186590684,55,2.51e-6,2.51e-5,****,UTR_MTR
CCI,SecondThreshold,VO2max,56,56,3.8487992437918153,55,3.11e-4,0.003,**,UTR_MTR
CCI,SecondThreshold,WanT,56,56,2.602734356952085,55,0.012,0.119,ns,UTR_MTR
CCI,SecondThreshold,Cooldown,56,56,1.649343002423099,55,0.105,1,ns,UTR_MTR
CCI,VO2max,WanT,56,56,0.1376571755556541,55,0.891,1,ns,UTR_MTR
CCI,VO2max,Cooldown,56,56,-0.9369753386854472,55,0.353,1,ns,UTR_MTR
CCI,WanT,Cooldown,56,56,-0.9930690454830832,55,0.325,1,ns,UTR_MTR
