pct_center,angle,muscle,mean_r,sd_r,n_subjects,se_r
20,Frontal,MTL,-0.0106451898880385,0.19393130374740636,45,0.028909571876290688
20,Frontal,MTR,0.039110881491733404,0.21313123709350093,45,0.031771728951312854
20,Frontal,SCML,0.05032899655215716,0.24972055202364477,45,0.03722614198024282
20,Frontal,SCMR,0.05605741611770463,0.229895518518,44,0.03465805345038217
20,Frontal,STL,-0.009495296376342832,0.23633472815529774,45,0.03523070117327861
20,Frontal,STR,0.03589038624727718,0.24551952188868395,44,0.037013460582373384
20,Frontal,UTL,0.03504199469063827,0.18581437100413742,45,0.027699570984107805
20,Frontal,UTR,0.01633141054869046,0.22243454606918844,45,0.03315858437033427
20,Horizontal,MTL,0.0030819801703675107,0.15042974818469934,38,0.024402927530864676
20,Horizontal,MTR,0.01711105413762693,0.19734221514428693,39,0.031600044578860974
20,Horizontal,SCML,-0.04783492929913902,0.18322277922671934,39,0.029339125372611637
20,Horizontal,SCMR,-0.048422112770673514,0.16871822870272438,39,0.027016538475431714
20,Horizontal,STL,0.02053553072969095,0.17214894899105676,39,0.027565893381424036
20,Horizontal,STR,0.014420097156058905,0.20601803500282062,38,0.033420538416724745
20,Horizontal,UTL,-0.03385826039742362,0.1722221073405436,39,0.02757760809286279
20,Horizontal,UTR,-0.012214550036632306,0.18530799951979565,39,0.02967302784841885
20,Sagittal,MTL,-0.036685048247645506,0.2310962358644814,55,0.03116101008712126
20,Sagittal,MTR,0.003274289974249819,0.23757984070248928,55,0.03203525918513145
20,Sagittal,SCML,0.12351101474681771,0.2746505843530172,55,0.037033877239250654
20,Sagittal,SCMR,0.13257640416402472,0.24644546254565292,54,0.033536979592279595
20,Sagittal,STL,-0.08334699598448513,0.25830321388753963,55,0.03482959825535852
20,Sagittal,STR,0.030089622504400657,0.2733390720788293,54,0.03719673629772023
20,Sagittal,UTL,0.01773449916999568,0.18471633394033077,55,0.02490714538745706
20,Sagittal,UTR,0.024556818222017388,0.22316855469610955,55,0.030092041776447514
30,Frontal,MTL,-0.02217447025777785,0.16971985696449132,47,0.024756185493149407
30,Frontal,MTR,0.00021476100721174016,0.1406310236611076,47,0.02051314307066767
30,Frontal,SCML,0.017082040117614317,0.19189567943820454,47,0.027990861649736406
30,Frontal,SCMR,0.014540859839331868,0.18509837758600658,46,0.027291266872378577
30,Frontal,STL,-0.012127609618348453,0.21433041981829995,47,0.0312633048645365
30,Frontal,STR,0.03455894484512929,0.20306976900668672,46,0.02994100397826899
30,Frontal,UTL,0.0021558807996962174,0.18063377451150187,47,0.026348143983352824
30,Frontal,UTR,0.02044290950530101,0.1709055211380464,47,0.024929132387744378
30,Horizontal,MTL,-0.026392001939830257,0.14753178856350874,37,0.02425407663518893
30,Horizontal,MTR,-0.0038025241478187545,0.14953801413327558,38,0.02425826916577202
30,Horizontal,SCML,-0.07334612423858189,0.18477502149474312,38,0.029974466576344425
30,Horizontal,SCMR,-0.04447959472110491,0.1342018166189284,38,0.021770409410252555
30,Horizontal,STL,0.04087720824491627,0.20248092920106386,38,0.032846744086873894
30,Horizontal,STR,0.0258118401251326,0.18881765256627187,37,0.031041430867269893
30,Horizontal,UTL,-0.043334608381428254,0.1258044204822202,38,0.020408171875157775
30,Horizontal,UTR,-0.0636283618706746,0.18972451634500848,38,0.03077738066483386
30,Sagittal,MTL,-0.009742126779039063,0.19650881422277106,55,0.02649724310436141
30,Sagittal,MTR,0.01959152289273414,0.18591327703701108,56,0.024843706654460097
30,Sagittal,SCML,0.1508310716135707,0.2554037034150312,56,0.03412975548186688
30,Sagittal,SCMR,0.1589102202641364,0.2182597807617119,55,0.02943014283416071
30,Sagittal,STL,-0.11652012376679541,0.26734990876522524,56,0.03572613432088373
30,Sagittal,STR,0.01831714016591964,0.2631582993039722,55,0.035484257839359754
30,Sagittal,UTL,0.009116631372659842,0.21815233270410977,56,0.029151831682296386
30,Sagittal,UTR,0.051272564315742564,0.23932649333250686,56,0.031981347915295666
40,Frontal,MTL,-0.0006401924422943308,0.16758162270407287,46,0.024708562267100425
40,Frontal,MTR,-0.01032032716412879,0.11304295364658036,46,0.01666727421517917
40,Frontal,SCML,0.039384471226545516,0.20047715005784575,46,0.029558743168887625
40,Frontal,SCMR,0.03821845496369342,0.20106253998078394,45,0.029972633808386807
40,Frontal,STL,-0.024893933445479112,0.20028125799753144,46,0.02952986046031967
40,Frontal,STR,0.030484639811839406,0.21825285595482183,45,0.03253521481323009
40,Frontal,UTL,0.014724130325613304,0.22066433434343766,46,0.032535181109214696
40,Frontal,UTR,-0.00820719143736835,0.1861839045618339,46,0.027451319093153466
40,Horizontal,MTL,-0.005227194213507293,0.1257649603551107,34,0.0215685127614052
40,Horizontal,MTR,0.011484616331860487,0.12259135846372,35,0.02072172163971234
40,Horizontal,SCML,-0.034185346297490114,0.18785097681125285,35,0.03175261046138765
40,Horizontal,SCMR,-0.04652308490058216,0.16152852913270652,34,0.027701914206409686
40,Horizontal,STL,0.051657521721992526,0.16520497585750193,35,0.027924737649657923
40,Horizontal,STR,0.04542661542691994,0.16621842730415026,34,0.028506225107274727
40,Horizontal,UTL,0.015338395204493404,0.14248680150696927,35,0.024084665307254536
40,Horizontal,UTR,-0.004149028195709386,0.15459566429644817,35,0.026131436688544916
40,Sagittal,MTL,-0.05057701282962966,0.1770548021628123,55,0.02387406465332492
40,Sagittal,MTR,-0.05050481120989778,0.18227679141520642,56,0.024357760822720002
40,Sagittal,SCML,0.13791680725064054,0.26511567902172956,56,0.035427572812901556
40,Sagittal,SCMR,0.12922433164599226,0.26865146041310284,55,0.03622495553221261
40,Sagittal,STL,-0.083383915147308,0.25044595373568573,56,0.03346724831367048
40,Sagittal,STR,-0.01129377421207239,0.2718639837191471,55,0.036658132086431615
40,Sagittal,UTL,0.04870663704226136,0.26713216381569815,56,0.035697036928068346
40,Sagittal,UTR,-0.019300937157469663,0.2767753848013872,56,0.03698566653640394
50,Frontal,MTL,0.022596126610714407,0.1807587289055571,45,0.026945920357285456
50,Frontal,MTR,-0.03260033636190529,0.16741791246369336,45,0.02495718886132851
50,Frontal,SCML,0.03289387769832445,0.23056578453085677,45,0.034370717833104344
50,Frontal,SCMR,0.05160889502816499,0.24282220023843196,44,0.036606824043610285
50,Frontal,STL,-0.024848974463820762,0.20118527374278103,45,0.029990929877384127
50,Frontal,STR,0.02254038944983637,0.2311682355346259,44,0.034849922759857106
50,Frontal,UTL,0.01366327627729452,0.23263695813104052,45,0.03467947016398527
50,Frontal,UTR,-0.009155843947858046,0.20013563545962346,45,0.02983445904052236
50,Horizontal,MTL,-0.017266414699945935,0.14241802974984064,32,0.02517618864983494
50,Horizontal,MTR,-0.004640352348328626,0.14973817736825018,33,0.026066070923343516
50,Horizontal,SCML,-0.06053274918224028,0.19787599552003793,33,0.03444578947002837
50,Horizontal,SCMR,-0.07088438620426855,0.21783985873225034,32,0.03850901033057344
50,Horizontal,STL,0.04418303044386783,0.17369051297962673,33,0.030235637361236134
50,Horizontal,STR,0.0219766296352915,0.1862969713161742,32,0.03293296293304562
50,Horizontal,UTL,0.03649271431257016,0.14151719581218053,33,0.024634981724407885
50,Horizontal,UTR,-0.011291206806275622,0.1544157183192387,33,0.026880326287728382
50,Sagittal,MTL,-0.04019641777094545,0.19057849506961413,56,0.02546712263705296
50,Sagittal,MTR,-0.057179655322979896,0.18349163398714904,57,0.024304060646671483
50,Sagittal,SCML,0.161925471757741,0.28727822959260735,57,0.038050931057576905
