Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,W-val,alternative,p-unc,p-corr,p-adjust,hedges,muscle
phase,CD,VO2,-0.6778464588037882,0.38252650844317004,-0.009347420735467743,0.4154278599262983,True,False,38.0,two-sided,3.829486005408706e-10,2.2976916032452234e-09,bonf,-1.662873899960411,STR
phase,CD,WanT,-0.6778464588037882,0.38252650844317004,-1.6667109754500946,0.873247674509232,True,False,17.0,two-sided,1.2957180263656208e-10,7.774308158193725e-10,bonf,1.4570419175705276,STR
phase,ST,WanT,0.020334743369285237,0.09341328850576265,-1.6667109754500946,0.873247674509232,True,False,0.0,two-sided,5.28272486561805e-11,3.16963491937083e-10,bonf,2.698417459458994,STR
phase,VO2,WanT,-0.009347420735467743,0.4154278599262983,-1.6667109754500946,0.873247674509232,True,False,1.0,two-sided,5.5717740783625447e-11,3.343064447017527e-10,bonf,2.4075177209384586,STR
phase,CD,ST,-0.8282311032860332,0.6562826129476723,0.028256638039262195,0.2916672519286337,True,False,30.0,two-sided,2.542420611111184e-10,1.5254523666667102e-09,bonf,-1.6752543566975282,UTL
phase,CD,VO2,-0.8282311032860332,0.6562826129476723,0.07567911528446344,0.6811161337810313,True,False,119.0,two-sided,1.940069989315835e-08,1.1640419935895011e-07,bonf,-1.342440263895802,UTL
phase,CD,WanT,-0.8282311032860332,0.6562826129476723,-2.626158978686817,1.7485482702055803,True,False,0.0,two-sided,5.28272486561805e-11,3.16963491937083e-10,bonf,1.3522796386056233,UTL
phase,ST,WanT,0.028256638039262195,0.2916672519286337,-2.626158978686817,1.7485482702055803,True,False,0.0,two-sided,5.28272486561805e-11,3.16963491937083e-10,bonf,2.103402367613353,UTL
phase,VO2,WanT,0.07567911528446344,0.6811161337810313,-2.626158978686817,1.7485482702055803,True,False,3.0,two-sided,6.197035082697064e-11,3.7182210496182384e-10,bonf,2.022533718139708,UTL
phase,CD,ST,-0.9457244248737443,0.7446831229028538,0.02292142669096045,0.22133742728084926,True,False,16.0,two-sided,1.832479120248525e-10,1.0994874721491151e-09,bonf,-1.7512486174253936,UTR
phase,CD,VO2,-0.9457244248737443,0.7446831229028538,-0.018853163563815577,0.6529573865719779,True,False,82.0,two-sided,5.3342699384779035e-09,3.200561963086742e-08,bonf,-1.3144456121992871,UTR
phase,CD,WanT,-0.9457244248737443,0.7446831229028538,-2.778051304678371,1.4179408548999917,True,False,2.0,two-sided,8.643052437596818e-11,5.185831462558091e-10,bonf,1.6068931097239258,UTR
phase,ST,WanT,0.02292142669096045,0.22133742728084926,-2.778051304678371,1.4179408548999917,True,False,0.0,two-sided,7.755146246815613e-11,4.6530877480893673e-10,bonf,2.7413219539553424,UTR
phase,VO2,WanT,-0.018853163563815577,0.6529573865719779,-2.778051304678371,1.4179408548999917,True,False,22.0,two-sided,2.5189297526116435e-10,1.5113578515669861e-09,bonf,2.4825622359335537,UTR
