,horiz_mean_ST,sag_slope_100W,sag_drift_WU_CD,frontal_mean_ST,sag_peak_CD,PC1,PC2,kmeans_k2,kmeans_k3,ward_k2,ward_k3
subject_607,9.214456769098325,8.52939820184738,-19.452111906676805,3.2423944052497373,33.60017936202471,-0.5127615222608489,0.5294037066300774,0,1,2,3
subject_608,-11.629302028900469,7.877307689589133,-29.777348479661047,26.30907545390231,-5.813714710369466,-1.6994966496593955,2.3474253398923772,0,0,2,3
subject_609,4.08082254802626,-0.6628394564159108,5.959376068266112,3.543181868578974,19.78657233715474,-0.31095342298342843,-0.24593868602282026,0,1,2,3
subject_610,-4.288429512023703,17.77905111175986,-10.541353071418825,8.381508532696557,-6.59977875346539,-0.7965146550129936,1.8515034312360428,0,0,2,3
subject_611,25.782263708385262,-1.3045410293537896,4.191113855940785,11.745240388466305,12.8876188587904,-0.8517005189850969,-0.6255197431095455,0,1,2,3
subject_612,-14.013722572756803,20.74264527586606,-4.304387213845088,5.5231161743281785,23.42064536674388,0.6031849349366685,1.678218835807584,0,0,2,3
subject_613,6.309992182993259,3.4699291458778503,27.757703483891984,3.5348315355799316,47.33227166747032,1.5081353714223273,-1.0059761751803096,1,2,1,1
subject_614,-0.3161174113569515,13.725126284495396,7.761530211798638,-0.6680298790222733,36.03724893075277,0.91248931436686,0.3076156430618618,0,2,2,3
subject_615,-3.6764598144609937,48.204922758458,9.98729556879871,-9.11855782060608,73.30200060908909,3.6289728212729937,1.528506913744415,1,2,1,1
subject_616,-11.993305233077908,31.134300272570357,13.640099219105078,85.02948639118054,55.91059651424005,3.2726857529905966,2.816680727744522,1,2,1,1
subject_617,10.733925196530295,0.740411469244018,-3.2878639233996094,-11.399559642395394,16.37514530881453,-0.8993938666902099,-0.37916018012618147,0,1,2,3
subject_618,1.4341633481255363,6.380146845736391,-10.72213318262984,8.642701277472762,3.50463138307079,-1.062417028001781,0.9429392209656812,0,0,2,3
subject_619,-3.796340131315593,4.499489268612038,45.58510512224734,-2.089353048994274,33.81049397634131,1.9025536197704247,-1.0168195449444264,1,2,1,1
subject_620,4.939549312524316,1.3626196619085418,-7.363812344107773,-6.920980789958564,16.83378972860352,-0.901543949104549,0.006009755573217349,0,1,2,3
subject_621,2.134401681734802,11.518474691143922,22.230619747506665,31.605894598556173,64.51021170392043,2.4365066810018723,-0.00934643319039424,1,2,1,1
subject_623,4.375945057238895,2.113036673879813,-4.873349231430314,1.4206349190321084,-18.58528600162663,-1.8002133916177534,0.6455025693796298,0,0,2,3
subject_624,4.61817050790216,-2.903824070515432,-13.070520158850119,-27.167099830791482,12.6280578168885,-1.5717081359405312,-0.4038837183754362,0,1,2,3
subject_625,0.5330592416526467,-3.7208036098569526,10.121440207698534,-115.70009232653301,36.52751388770259,-0.5752039549782807,-2.9297259515537357,0,1,2,2
subject_626,-2.575338620712682,-0.0320768755345073,-25.177386006887286,-2.36421197402238,21.36786769776467,-1.3588290566229921,0.6195812089919202,0,0,2,3
subject_627,-19.721008562367476,-0.5171674867242633,-0.6759515266819758,5.10941370288425,12.12732403688953,-0.45878466891534875,0.763697399119412,0,0,2,3
subject_628,-10.026804027207735,1.2748043767312924,10.854164804125732,1.9886156169939548,22.46799043662315,0.2189541524165842,0.08693668042123238,0,0,2,3
subject_629,21.573934811509403,3.695303768613692,-3.8058901937674783,-21.80301751685224,36.56320211843423,-0.38820117036361723,-1.0039060249650846,0,1,2,3
subject_630,18.82230787611639,-8.442266393955425,-13.978241506215813,8.593877104428572,16.2080216300508,-1.6719773859103664,-0.4590294357539572,0,1,2,3
subject_631,-4.4976773204754785,10.252541586692622,0.20961061286605087,-0.014512510874230852,28.21995674282295,0.29733048719695077,0.5511511610496085,0,0,2,3
subject_632,-5.8473948298003,-0.02523470212231012,19.02299177014508,2.6675006411576696,66.78620672834217,1.7849428156027873,-0.9006203532516766,1,2,1,1
