"Subject","Phase","File_Exists","Has_Data","Rows"
619,"CoolDown",TRUE,TRUE,59
619,"Second_Threshold",TRUE,TRUE,60
619,"VO2max",TRUE,TRUE,60
619,"WanT",TRUE,TRUE,37
620,"Warmup",TRUE,TRUE,67
620,"CoolDown",TRUE,TRUE,67
620,"Second_Threshold",TRUE,TRUE,60
620,"VO2max",TRUE,TRUE,37
620,"WanT",TRUE,TRUE,47
621,"Warmup",TRUE,TRUE,59
621,"CoolDown",TRUE,TRUE,68
621,"Second_Threshold",TRUE,TRUE,60
621,"VO2max",TRUE,TRUE,10
621,"WanT",TRUE,TRUE,63
622,"Warmup",TRUE,TRUE,67
622,"CoolDown",TRUE,TRUE,70
622,"Second_Threshold",TRUE,TRUE,60
622,"VO2max",TRUE,TRUE,17
622,"WanT",TRUE,TRUE,63
623,"Warmup",TRUE,TRUE,76
623,"CoolDown",TRUE,TRUE,71
623,"Second_Threshold",TRUE,TRUE,60
623,"VO2max",TRUE,TRUE,58
623,"WanT",TRUE,TRUE,63
624,"Warmup",TRUE,TRUE,67
624,"CoolDown",TRUE,TRUE,67
624,"Second_Threshold",TRUE,TRUE,60
624,"VO2max",TRUE,TRUE,24
624,"WanT",TRUE,TRUE,59
625,"Warmup",TRUE,TRUE,68
625,"CoolDown",TRUE,TRUE,67
625,"Second_Threshold",TRUE,TRUE,60
625,"VO2max",TRUE,TRUE,60
625,"WanT",TRUE,TRUE,59
626,"Warmup",TRUE,TRUE,67
626,"CoolDown",TRUE,TRUE,67
626,"Second_Threshold",TRUE,TRUE,60
626,"VO2max",TRUE,TRUE,60
626,"WanT",TRUE,TRUE,59
627,"Warmup",TRUE,TRUE,70
627,"CoolDown",TRUE,TRUE,76
627,"Second_Threshold",TRUE,TRUE,60
627,"VO2max",TRUE,TRUE,60
627,"WanT",TRUE,TRUE,67
628,"Warmup",TRUE,TRUE,67
628,"CoolDown",TRUE,TRUE,76
628,"Second_Threshold",TRUE,TRUE,60
628,"VO2max",TRUE,TRUE,42
628,"WanT",TRUE,TRUE,51
629,"Warmup",TRUE,TRUE,67
629,"CoolDown",TRUE,TRUE,67
629,"Second_Threshold",FALSE,FALSE,0
629,"VO2max",TRUE,TRUE,427
629,"WanT",TRUE,TRUE,59
630,"Warmup",TRUE,TRUE,67
630,"CoolDown",TRUE,TRUE,67
630,"Second_Threshold",TRUE,TRUE,60
630,"VO2max",TRUE,TRUE,39
630,"WanT",TRUE,TRUE,63
631,"Warmup",TRUE,TRUE,67
631,"CoolDown",TRUE,TRUE,67
631,"Second_Threshold",TRUE,TRUE,60
631,"VO2max",TRUE,TRUE,44
631,"WanT",TRUE,TRUE,63
632,"Warmup",TRUE,TRUE,77
632,"CoolDown",TRUE,TRUE,67
632,"Second_Threshold",TRUE,TRUE,60
632,"VO2max",TRUE,TRUE,28
632,"WanT",TRUE,TRUE,55
