"Subject","Phase","Min_Time","Max_Time","Duration","N_Rows"
620,"VO2max",570.9999,606.9997,35.9997999999999,37
620,"WanT",0.9997941,46.99985,46.0000559,47
621,"Warmup",0.9997941,58.99976,57.9999659,59
621,"CoolDown",0.9997941,67.9995,66.9997059,68
621,"Second_Threshold",540.9998,599.9996,58.9997999999999,60
621,"VO2max",690.9999,699.9996,8.99969999999996,10
621,"WanT",0.9997941,62.99973,61.9999359,63
622,"Warmup",0.9997941,66.9997,65.9999059,67
622,"CoolDown",0.9997941,69.99988,69.0000859,70
622,"Second_Threshold",240.9996,299.9994,58.9998,60
622,"VO2max",540.9998,556.9997,15.9998999999999,17
622,"WanT",0.9997941,62.99973,61.9999359,63
623,"Warmup",0.9997941,75.99944,74.9996459,76
623,"CoolDown",0.9997941,70.99967,69.9998759,71
623,"Second_Threshold",480.9994,539.9992,58.9998,60
623,"VO2max",600.9993,657.9995,57.0002000000001,58
623,"WanT",0.9997941,62.99973,61.9999359,63
624,"Warmup",0.9997941,66.9997,65.9999059,67
624,"CoolDown",0.9997941,66.9997,65.9999059,67
624,"Second_Threshold",720.9993,779.9998,59.0005000000001,60
624,"VO2max",900.9995,923.9996,23.0001,24
624,"WanT",0.9997941,58.99976,57.9999659,59
625,"Warmup",0.9997941,67.9995,66.9997059,68
625,"CoolDown",0.9997941,66.9997,65.9999059,67
625,"Second_Threshold",540.9998,599.9996,58.9997999999999,60
625,"VO2max",720.9993,779.9998,59.0005000000001,60
625,"WanT",0.9997941,58.99976,57.9999659,59
626,"Warmup",0.9997941,66.9997,65.9999059,67
626,"CoolDown",0.9997941,66.9997,65.9999059,67
626,"Second_Threshold",480.9994,539.9992,58.9998,60
626,"VO2max",660.9997,719.9995,58.9998000000001,60
626,"WanT",0.9997941,58.99976,57.9999659,59
627,"Warmup",0.9997941,69.99988,69.0000859,70
627,"CoolDown",0.9997941,75.99944,74.9996459,76
627,"Second_Threshold",300.9992,359.9997,59.0005,60
627,"VO2max",660.9997,719.9995,58.9998000000001,60
627,"WanT",0.9997941,66.9997,65.9999059,67
628,"Warmup",0.9997941,66.9997,65.9999059,67
628,"CoolDown",0.9997941,75.99944,74.9996459,76
628,"Second_Threshold",420.9999,479.9996,58.9997,60
628,"VO2max",600.9993,641.9996,41.0003,42
628,"WanT",0.9997941,50.99982,50.0000259,51
629,"Warmup",0.9997941,66.9997,65.9999059,67
629,"CoolDown",0.9997941,66.9997,65.9999059,67
629,"VO2max",0.9997941,426.9994,425.9996059,427
629,"WanT",0.9997941,58.99976,57.9999659,59
630,"Warmup",0.9997941,66.9997,65.9999059,67
630,"CoolDown",0.9997941,66.9997,65.9999059,67
630,"Second_Threshold",300.9992,359.9997,59.0005,60
630,"VO2max",540.9998,578.9999,38.0001,39
630,"WanT",0.9997941,62.99973,61.9999359,63
631,"Warmup",0.9997941,66.9997,65.9999059,67
631,"CoolDown",0.9997941,66.9997,65.9999059,67
631,"Second_Threshold",420.9999,479.9996,58.9997,60
631,"VO2max",540.9998,583.9997,42.9998999999999,44
631,"WanT",0.9997941,62.99973,61.9999359,63
632,"Warmup",0.9997941,76.99924,75.9994459,77
632,"CoolDown",0.9997941,66.9997,65.9999059,67
632,"Second_Threshold",480.9994,539.9992,58.9998,60
632,"VO2max",600.9993,627.9993,27,28
632,"WanT",0.9997941,54.99979,53.9999959,55
