subject,angle_plane,rho,p_value,n,x_min,x_max,power_source
subject_597,angle_sagittal,0.7575757575757575,0.01114344679969421,10,137.5,270.0,file
subject_598,angle_sagittal,-0.8598558845008637,0.0014200582889551739,10,107.5,265.0,file
subject_600,angle_sagittal,0.12613124477737828,0.7875721594074739,7,155.0,252.5,file
subject_601,angle_sagittal,0.4510262271024232,0.1638159453948524,11,190.0,347.5,file
subject_602,angle_sagittal,0.042018290340800894,0.9145268818669684,9,147.5,275.0,file
subject_603,angle_sagittal,0.7289312761251283,0.010930388075413177,11,182.5,347.5,file
subject_604,angle_sagittal,0.13483997249264842,0.6926333242322505,11,172.5,315.0,file
subject_605,angle_sagittal,-0.049999999999999996,0.8983528043506303,9,200.0,370.0,file
subject_606,angle_sagittal,0.7714285714285715,0.07239650145772594,6,170.0,280.0,file
subject_607,angle_sagittal,0.8666666666666665,0.001173538180155469,10,152.5,295.0,file
subject_608,angle_sagittal,0.39285714285714296,0.3833168704269725,7,200.0,320.0,manual
subject_609,angle_sagittal,-0.29090909090909095,0.38545696969136567,11,100.0,300.0,manual
subject_610,angle_sagittal,0.4047619047619048,0.3198886412288164,8,180.0,320.0,manual
subject_611,angle_sagittal,-0.3426573426573427,0.2755674509567803,12,180.0,400.0,manual
subject_612,angle_sagittal,0.8424242424242423,0.0022200312259168433,10,130.0,265.0,manual
subject_613,angle_sagittal,0.7999999999999999,0.2000000000000001,4,220.0,280.0,manual
subject_614,angle_sagittal,0.7272727272727273,0.011204967253592069,11,180.0,380.0,manual
subject_615,angle_sagittal,0.8787878787878788,0.0008138621117322102,10,160.0,205.0,manual
subject_616,angle_sagittal,0.9151515151515152,0.00020447240614883232,10,160.0,340.0,manual
subject_617,angle_sagittal,-0.16363636363636364,0.6514773427962428,10,150.0,285.0,manual
subject_618,angle_sagittal,0.44755244755244755,0.1445863013033476,12,210.0,430.0,manual
subject_619,angle_sagittal,0.7142857142857144,0.07134356146753763,7,200.0,320.0,manual
subject_620,angle_sagittal,0.5284751751907181,0.09467273983443365,11,170.0,320.0,manual
subject_621,angle_sagittal,0.6015187191047882,0.03853940009325887,12,120.0,285.0,manual
subject_623,angle_sagittal,0.25968176711957697,0.4406239588244011,11,180.0,380.0,manual
subject_624,angle_sagittal,-0.6028632186656164,0.017366184212913072,15,90.0,320.0,manual
subject_625,angle_sagittal,-0.657142857142857,0.007770251358668455,15,120.0,330.0,manual
subject_626,angle_sagittal,0.021015794050150385,0.948311888497252,12,145.0,315.0,file
subject_627,angle_sagittal,-0.34810374480574197,0.2941502401949894,11,117.5,275.0,file
subject_628,angle_sagittal,0.4268372033233729,0.2186166141125519,10,107.5,250.0,file
subject_629,angle_sagittal,0.4761904761904762,0.23293553465009806,8,100.0,250.0,file
subject_630,angle_sagittal,-0.9666666666666667,2.1550312748357717e-05,9,110.0,280.0,file
subject_631,angle_sagittal,0.8166666666666667,0.0072247852463587885,9,130.0,300.0,file
subject_632,angle_sagittal,-0.09999999999999999,0.797971695234851,9,170.0,340.0,file
subject_541,angle_frontal,-0.10811249552346709,0.8175332656241182,7,70.0,200.0,file
subject_560,angle_frontal,0.8619322310183947,0.002805928967837708,9,50.0,160.0,file
subject_570,angle_frontal,0.7714285714285715,0.07239650145772594,6,144.0,260.0,file
subject_571,angle_frontal,-0.6546536707079772,0.15830242337545788,6,193.33333333333337,300.0,file
subject_572,angle_frontal,-0.665934065934066,0.009322999096841762,14,103.33333333333331,270.0,file
subject_573,angle_frontal,0.35359655687029107,0.23592690724066012,13,113.33333333333331,340.0,file
subject_574,angle_frontal,0.7619047619047621,0.028004939153071815,8,150.0,290.0,file
subject_575,angle_frontal,-0.8001811389132237,0.00959925912833586,9,120.0,300.0,file
subject_577,angle_frontal,-0.6546536707079772,0.15830242337545788,6,235.0,290.0,file
subject_579,angle_frontal,-0.6666670700810451,0.009217525272830304,14,205.0,360.0,file
subject_580,angle_frontal,-0.3536684836629595,0.2594069345477951,12,230.0,460.0,file
subject_581,angle_frontal,-0.5797710356524484,0.22778395671501606,6,193.33333333333337,300.0,file
subject_582,angle_frontal,0.5097970656333186,0.1322487958212865,10,133.33333333333334,320.0,file
subject_583,angle_frontal,-0.9151515151515152,0.00020447240614883232,10,173.33333333333334,360.0,file
subject_584,angle_frontal,-0.33516483516483514,0.2629431403593601,13,175.0,310.0,file
subject_585,angle_frontal,0.42023031949290335,0.22660334321039327,10,153.33333333333334,340.0,file
subject_586,angle_frontal,0.9285714285714287,0.0008629681828999772,8,230.0,380.0,file
subject_587,angle_frontal,0.702731220902536,0.0782374538320716,7,130.0,225.0,file
subject_588,angle_frontal,0.9230769230769231,1.8621951098680993e-05,12,166.66666666666666,340.0,file
subject_590,angle_frontal,0.6741998624632421,0.022899494551768262,11,250.0,460.0,file
subject_591,angle_frontal,-0.7075275528876865,0.049628260734861304,8,230.0,380.0,file
subject_594,angle_frontal,0.7142857142857144,0.046528232284167276,8,135.0,245.0,file
subject_595,angle_frontal,0.8535639569308375,0.0034182152429017443,9,140.0,310.0,file
subject_596,angle_frontal,0.9293407568939621,0.00010007953598474823,10,190.0,332.5,file
subject_597,angle_frontal,0.7333333333333332,0.01580059625057158,10,137.5,270.0,file
subject_598,angle_frontal,0.596324187835682,0.06881770456580857,10,107.5,265.0,file
subject_600,angle_frontal,-0.6071428571428572,0.14823116148116158,7,155.0,252.5,file
subject_602,angle_frontal,-0.6333333333333333,0.06708578689234572,9,147.5,275.0,file
subject_603,angle_frontal,0.5525171756224401,0.07796465164458329,11,182.5,347.5,file
subject_604,angle_frontal,0.18499891602515212,0.5860456466673435,11,172.5,315.0,file
subject_605,angle_frontal,0.4518868007280905,0.22203877371139547,9,200.0,370.0,file
subject_606,angle_frontal,0.9411239481143202,0.005097540564861477,6,170.0,280.0,file
subject_607,angle_frontal,0.8060606060606059,0.004862061101964608,10,152.5,295.0,file
subject_608,angle_frontal,0.7500000000000002,0.05218140045705777,7,200.0,320.0,manual
subject_609,angle_frontal,0.8554904235457214,0.0007844787383942549,11,100.0,300.0,manual
subject_610,angle_frontal,-0.19162020190612142,0.6494102011224531,8,180.0,320.0,manual
subject_611,angle_frontal,-0.40846083281831924,0.18741773178386265,12,180.0,400.0,manual
subject_612,angle_frontal,-0.7939393939393938,0.0060999233136969115,10,130.0,265.0,manual
subject_613,angle_frontal,0.316227766016838,0.683772233983162,4,220.0,280.0,manual
subject_614,angle_frontal,0.7432828570567235,0.008754099821332946,11,180.0,380.0,manual
subject_615,angle_frontal,-0.2796365500928297,0.43392583967692894,10,160.0,205.0,manual
subject_616,angle_frontal,-0.006060606060606061,0.9867429111949892,10,160.0,340.0,manual
subject_617,angle_frontal,-0.07784989441615231,0.830731709159245,10,150.0,285.0,manual
subject_618,angle_frontal,-0.8807071758072423,0.00015522453975657085,12,210.0,430.0,manual
subject_619,angle_frontal,0.3214285714285715,0.4820720382996776,7,200.0,320.0,manual
subject_620,angle_frontal,-0.4703245379265399,0.14431857875511914,11,170.0,320.0,manual
subject_621,angle_frontal,0.9667265263069179,3.0374096329091224e-07,12,120.0,285.0,manual
subject_623,angle_frontal,-0.5,0.11730680301423817,11,180.0,380.0,manual
subject_624,angle_frontal,-0.7928571428571427,0.0004220771851923509,15,90.0,320.0,manual
subject_626,angle_frontal,-0.938705467573384,6.144233588143185e-06,12,145.0,315.0,file
subject_627,angle_frontal,-0.05454545454545456,0.873446577523315,11,117.5,275.0,file
subject_628,angle_frontal,-0.11078234188139946,0.7606159189428958,10,107.5,250.0,file
subject_629,angle_frontal,-0.9761904761904763,3.3143960262000996e-05,8,100.0,250.0,file
subject_630,angle_frontal,-0.8535639569308375,0.0034182152429017443,9,110.0,280.0,file
subject_631,angle_frontal,-0.12871918058696766,0.7413690814813456,9,130.0,300.0,file
subject_632,angle_frontal,-0.2928895930645031,0.4443546956852246,9,170.0,340.0,file
subject_541,angle_horizontal,-0.21622499104693418,0.6414455093539176,7,70.0,200.0,file
subject_560,angle_horizontal,0.12871918058696766,0.7413690814813456,9,50.0,160.0,file
subject_570,angle_horizontal,0.6546536707079772,0.15830242337545788,6,144.0,260.0,file
subject_571,angle_horizontal,0.0,1.0,6,193.33333333333337,300.0,file
subject_572,angle_horizontal,-0.7260166027920448,0.003282793447635808,14,103.33333333333331,270.0,file
subject_573,angle_horizontal,0.4628116735064833,0.1112589480385667,13,113.33333333333331,340.0,file
subject_574,angle_horizontal,-0.45420146992971866,0.25824993551060055,8,150.0,290.0,file
subject_575,angle_horizontal,0.5477225575051661,0.12687036692367107,9,120.0,300.0,file
subject_577,angle_horizontal,0.8857142857142858,0.01884548104956266,6,235.0,290.0,file
subject_578,angle_horizontal,-0.39520337841945463,0.2583335848059771,10,205.0,300.0,file
subject_579,angle_horizontal,-0.7016513716782277,0.0035526624981326426,15,205.0,360.0,file
subject_580,angle_horizontal,0.6504436355879909,0.022008556958211124,12,230.0,460.0,file
subject_581,angle_horizontal,0.6546536707079772,0.15830242337545788,6,193.33333333333337,300.0,file
subject_582,angle_horizontal,-0.9387209722839688,5.726986651435855e-05,10,133.33333333333334,320.0,file
subject_583,angle_horizontal,-0.6227991553292185,0.054438696140665634,10,173.33333333333334,360.0,file
