subject,angle_plane,angle_name,power_source,slope_per_watt,slope_per_100w,slope_per_pct_wmax,slope_per_10pct_wmax,intercept,r_squared,p_value,n_minutes
subject_579,angle_sagittal,Sagittal (Flexion/Extension),file,0.07161551577152601,7.1615515771526015,0.2578158567774937,2.578158567774937,8.72274083546461,0.7022585118855547,9.588076933117789e-05,15
subject_580,angle_sagittal,Sagittal (Flexion/Extension),file,0.00813489284213475,0.813489284213475,0.037420507073819845,0.3742050707381984,-12.777933417378717,0.10094292137429255,0.3142463641941081,12
subject_581,angle_sagittal,Sagittal (Flexion/Extension),file,-0.033557692307692316,-3.3557692307692317,-0.1006730769230769,-1.006730769230769,9.491025641025644,0.31519958594811415,0.24634110433821635,6
subject_582,angle_sagittal,Sagittal (Flexion/Extension),file,-0.027810228452751825,-2.7810228452751824,-0.08899273104880583,-0.8899273104880583,4.002812391831085,0.45125596419635877,0.033391088229717994,10
subject_583,angle_sagittal,Sagittal (Flexion/Extension),file,0.05217744029075804,5.217744029075804,0.187838785046729,1.87838785046729,0.430209415022496,0.5843975079653791,0.010020953147021281,10
subject_584,angle_sagittal,Sagittal (Flexion/Extension),file,0.09738340563991323,9.738340563991322,0.301888557483731,3.0188855748373102,-43.26113973246565,0.19412280813066624,0.13184562684130952,13
subject_585,angle_sagittal,Sagittal (Flexion/Extension),file,0.04117666147455867,4.117666147455868,0.1400006490134995,1.4000064901349951,-22.366714260989962,0.22413910061802367,0.1669398010928677,10
subject_586,angle_sagittal,Sagittal (Flexion/Extension),file,0.12404875825928456,12.404875825928457,0.47138528138528124,4.713852813852812,-39.02922077922077,0.7806171630671525,0.0036132849480159154,8
subject_587,angle_sagittal,Sagittal (Flexion/Extension),file,0.1823075803870217,18.23075803870217,0.41019205587079877,4.101920558707988,-21.785719482031134,0.526197546267306,0.06503591775396933,7
subject_588,angle_sagittal,Sagittal (Flexion/Extension),file,0.030813781325106218,3.081378132510622,0.10476685650536116,1.0476685650536117,7.1285164347053644,0.8081370642939324,6.983135962052695e-05,12
subject_590,angle_sagittal,Sagittal (Flexion/Extension),file,-0.039663050624589094,-3.9663050624589093,-0.18245003287310974,-1.8245003287310975,26.515368178829718,0.8661881878385103,3.215627981436306e-05,11
subject_591,angle_sagittal,Sagittal (Flexion/Extension),file,-0.02829232171337436,-2.829232171337436,-0.10751082251082258,-1.0751082251082258,-26.254329004329,0.3731573860733258,0.1076647186791513,8
subject_594,angle_sagittal,Sagittal (Flexion/Extension),file,0.15297488798582892,15.297488798582892,0.3747884755652808,3.747884755652808,-29.164556632280924,0.8243069666067002,0.0018198684396567686,8
subject_595,angle_sagittal,Sagittal (Flexion/Extension),file,-0.023651960784313728,-2.365196078431373,-0.07332107843137255,-0.7332107843137254,0.5710784313725501,0.41663683951501074,0.06043965352381217,9
subject_596,angle_sagittal,Sagittal (Flexion/Extension),file,0.10475781026081972,10.475781026081972,0.3483197191172256,3.483197191172256,-11.140584694754946,0.7509369987473996,0.0011769296892425469,10
subject_597,angle_sagittal,Sagittal (Flexion/Extension),file,0.1932212547275309,19.32212547275309,0.5216973877643335,5.216973877643335,-57.403718572128625,0.531136854214232,0.016803137759295688,10
subject_598,angle_sagittal,Sagittal (Flexion/Extension),file,-0.016724646847986507,-1.6724646847986506,-0.04432031414716424,-0.4432031414716424,-2.0638967952772505,0.5687136699666001,0.011737093035782088,10
