angle,muscle,phase,r,p,n,p_bonf,significant
Horizontal,MTR,Second_threshold,-0.011715406092127767,0.9298247470777946,59,1.0,False
Horizontal,SCML,Second_threshold,0.006333455577723894,0.9620288415420422,59,1.0,False
Horizontal,SCMR,Second_threshold,0.04574054001210091,0.7331450103816664,58,1.0,False
Horizontal,STL,Second_threshold,-0.1144779529306901,0.38794450477892384,59,1.0,False
Horizontal,STR,Second_threshold,-0.1386919620285646,0.29913897260986994,58,1.0,False
Horizontal,UTL,Second_threshold,-0.1273827403519679,0.3363337298938859,59,1.0,False
Horizontal,UTR,Second_threshold,0.05022162662335989,0.7056204785578258,59,1.0,False
Sagittal,MTL,Vo2max,-0.02231944503650201,0.8703006577245078,56,1.0,False
Sagittal,MTR,Vo2max,0.03714387597373165,0.7838449059286486,57,1.0,False
Sagittal,SCML,Vo2max,0.14731144528849072,0.27416721659424786,57,1.0,False
Sagittal,SCMR,Vo2max,0.0929692044399471,0.495552265316625,56,1.0,False
Sagittal,STL,Vo2max,-0.07522769296250538,0.5780995406164311,57,1.0,False
Sagittal,STR,Vo2max,-0.24264278761734726,0.07156881082923813,56,1.0,False
Sagittal,UTL,Vo2max,0.11395974513406676,0.39862998854519704,57,1.0,False
Sagittal,UTR,Vo2max,-0.032184876825406224,0.8121380887656802,57,1.0,False
Frontal,MTL,Vo2max,0.03987420879747685,0.776809405690946,53,1.0,False
Frontal,MTR,Vo2max,0.16394754910134615,0.23617198831496064,54,1.0,False
Frontal,SCML,Vo2max,0.25150567983508065,0.06657264243278845,54,1.0,False
Frontal,SCMR,Vo2max,0.2540821676862478,0.06637313163103203,53,1.0,False
Frontal,STL,Vo2max,0.1804528475809748,0.19162960817418173,54,1.0,False
Frontal,STR,Vo2max,0.05930734190201056,0.6731417248302977,53,1.0,False
Frontal,UTL,Vo2max,0.13501562867169684,0.3303498724552229,54,1.0,False
Frontal,UTR,Vo2max,0.03869024932291707,0.7811923941285188,54,1.0,False
Horizontal,MTL,Vo2max,0.12922521355307343,0.3425138117857832,56,1.0,False
Horizontal,MTR,Vo2max,0.24413485020054454,0.06722841375044633,57,1.0,False
Horizontal,SCML,Vo2max,0.10936019314760816,0.41805952607020547,57,1.0,False
Horizontal,SCMR,Vo2max,0.18931322399300382,0.16229006092361797,56,1.0,False
Horizontal,STL,Vo2max,0.16984141735197628,0.2065654187947609,57,1.0,False
Horizontal,STR,Vo2max,0.2244474000916511,0.09630828146985262,56,1.0,False
Horizontal,UTL,Vo2max,-0.19697834492352242,0.14193089027988282,57,1.0,False
Horizontal,UTR,Vo2max,0.10107286796108807,0.45440198759044914,57,1.0,False
Sagittal,MTL,WanT,0.026317495355737908,0.8459219012690373,57,1.0,False
Sagittal,MTR,WanT,0.013904697476097131,0.9174909305826642,58,1.0,False
Sagittal,SCML,WanT,0.2215522814664857,0.09464190843275683,58,1.0,False
Sagittal,SCMR,WanT,0.2587629036100041,0.051946251030345995,57,1.0,False
Sagittal,STL,WanT,-0.011505214283319309,0.9316917886936689,58,1.0,False
Sagittal,STR,WanT,-0.021455889070810953,0.874127590395735,57,1.0,False
Sagittal,UTL,WanT,0.16596425416713279,0.2130995818347313,58,1.0,False
Sagittal,UTR,WanT,0.07389177729554272,0.5814641628944616,58,1.0,False
Frontal,MTL,WanT,-0.15996536632546682,0.24336508074620974,55,1.0,False
Frontal,MTR,WanT,0.007553360571814327,0.9559392437039543,56,1.0,False
Frontal,SCML,WanT,0.26805885504407134,0.0457768100725137,56,1.0,False
Frontal,SCMR,WanT,0.31798257528025814,0.0179900835567836,55,1.0,False
Frontal,STL,WanT,0.3630056227748415,0.005965058501609184,56,0.7158070201931022,False
Frontal,STR,WanT,0.27288633984795474,0.04382816659627667,55,1.0,False
Frontal,UTL,WanT,0.013568706547557863,0.9209371765780553,56,1.0,False
Frontal,UTR,WanT,0.06753592981857516,0.6209113866557664,56,1.0,False
Horizontal,MTL,WanT,-0.08929249827506607,0.5050523478196239,58,1.0,False
Horizontal,MTR,WanT,-0.2513545760911175,0.05481543286403078,59,1.0,False
Horizontal,SCML,WanT,-0.23926262036302998,0.06798633081630776,59,1.0,False
Horizontal,SCMR,WanT,-0.1947945719287214,0.142840572539593,58,1.0,False
Horizontal,STL,WanT,-0.2559219976252135,0.05041448168206716,59,1.0,False
Horizontal,STR,WanT,-0.17223558176081094,0.19606672472226713,58,1.0,False
Horizontal,UTL,WanT,-0.270707560924691,0.038102685828141095,59,1.0,False
Horizontal,UTR,WanT,-0.0891818332875415,0.501773267577499,59,1.0,False
Sagittal,MTL,Cooldown,0.14260666277030978,0.28127299291763996,59,1.0,False
Sagittal,MTR,Cooldown,0.10058349541539317,0.4444685942733235,60,1.0,False
Sagittal,SCML,Cooldown,0.1590997499305363,0.22466798596510507,60,1.0,False
Sagittal,SCMR,Cooldown,0.19479836353009938,0.13928352456989643,59,1.0,False
Sagittal,STL,Cooldown,-0.15154209502639626,0.24774776334313553,60,1.0,False
Sagittal,STR,Cooldown,-0.0028638223261250734,0.9828254167424751,59,1.0,False
Sagittal,UTL,Cooldown,0.07468741317032511,0.5706126735938217,60,1.0,False
Sagittal,UTR,Cooldown,0.019283134203945545,0.8837335210565636,60,1.0,False
Frontal,MTL,Cooldown,-0.10265323397839148,0.4432038691781158,58,1.0,False
Frontal,MTR,Cooldown,0.0470213481463512,0.7236043888417919,59,1.0,False
Frontal,SCML,Cooldown,0.22730394399149761,0.08339102896680936,59,1.0,False
Frontal,SCMR,Cooldown,0.11163577647814886,0.40411337734274194,58,1.0,False
Frontal,STL,Cooldown,0.23352864700900713,0.0750611252255092,59,1.0,False
Frontal,STR,Cooldown,0.3101745754282653,0.017809105817512765,58,1.0,False
Frontal,UTL,Cooldown,-0.015284129944401292,0.9085288263311907,59,1.0,False
Frontal,UTR,Cooldown,-0.12464018013933367,0.3469253633600088,59,1.0,False
Horizontal,MTL,Cooldown,-0.0446574704945437,0.7369848467111745,59,1.0,False
Horizontal,MTR,Cooldown,0.12446507051824782,0.3433776218067846,60,1.0,False
Horizontal,SCML,Cooldown,0.06521980810590033,0.6205359362654955,60,1.0,False
Horizontal,SCMR,Cooldown,-0.1136845184593418,0.39126367525376116,59,1.0,False
Horizontal,STL,Cooldown,-0.07222253143043672,0.5834296041831364,60,1.0,False
Horizontal,STR,Cooldown,-0.24359592721656,0.0630022604717061,59,1.0,False
Horizontal,UTL,Cooldown,-0.0942310904504082,0.47389728758099847,60,1.0,False
Horizontal,UTR,Cooldown,0.2598232662079967,0.04498213850842953,60,1.0,False
